measurement_id,gas_class
G_B10_0336,2
G_B10_0337,6
G_B10_0338,3
G_B10_0339,4
G_B10_0340,3
G_B10_0341,4
G_B10_0342,3
G_B10_0343,6
G_B10_0344,2
G_B10_0345,4
G_B10_0346,3
G_B10_0347,4
G_B10_0348,2
G_B10_0349,6
G_B10_0350,3
G_B10_0351,4
G_B10_0352,3
G_B10_0353,4
G_B10_0354,2
G_B10_0355,6
G_B10_0356,3
G_B10_0357,4
G_B10_0358,3
G_B10_0359,4
G_B10_0360,3
G_B10_0361,6
G_B10_0362,2
G_B10_0363,4
G_B10_0364,3
G_B10_0365,4
G_B10_0366,3
G_B10_0367,6
G_B10_0368,3
G_B10_0369,4
G_B10_0370,3
G_B10_0371,4
G_B10_0372,2
G_B10_0373,4
G_B10_0374,3
G_B10_0375,6
G_B10_0376,3
G_B10_0377,4
G_B10_0378,3
G_B10_0379,4
G_B10_0380,3
G_B10_0381,6
G_B10_0382,3
G_B10_0383,4
G_B10_0384,3
G_B10_0385,6
G_B10_0386,3
G_B10_0387,6
G_B10_0388,3
G_B10_0389,4
G_B10_0390,3
G_B10_0391,6
G_B10_0392,3
G_B10_0393,4
G_B10_0394,3
G_B10_0395,4
G_B10_0396,3
G_B10_0397,6
G_B10_0398,3
G_B10_0399,6
G_B10_0400,3
G_B10_0401,4
G_B10_0402,3
G_B10_0403,4
G_B10_0404,3
G_B10_0405,4
G_B10_0406,3
G_B10_0407,4
G_B10_0408,3
G_B10_0409,4
G_B10_0410,3
G_B10_0411,6
G_B10_0412,3
G_B10_0413,4
G_B10_0414,3
G_B10_0415,4
G_B10_0416,3
G_B10_0417,6
G_B10_0418,3
G_B10_0419,4
G_B10_0420,3
G_B10_0421,6
G_B10_0422,3
G_B10_0423,4
G_B10_0424,3
G_B10_0425,4
G_B10_0426,3
G_B10_0427,6
G_B10_0428,3
G_B10_0429,4
G_B10_0430,3
G_B10_0431,4
G_B10_0432,3
G_B10_0433,4
G_B10_0434,3
G_B10_0435,6
G_B10_0436,2
G_B10_0437,4
G_B10_0438,3
G_B10_0439,4
G_B10_0440,3
G_B10_0441,6
G_B10_0442,2
G_B10_0443,4
G_B10_0444,3
G_B10_0445,4
G_B10_0446,3
G_B10_0447,4
G_B10_0448,3
G_B10_0449,6
G_B10_0450,2
G_B10_0451,4
G_B10_0452,3
G_B10_0453,4
G_B10_0454,3
G_B10_0455,4
G_B10_0456,3
G_B10_0457,6
G_B10_0458,2
G_B10_0459,4
G_B10_0460,3
G_B10_0461,4
G_B10_0462,3
G_B10_0463,4
G_B10_0464,2
G_B10_0465,4
G_B10_0466,3
G_B10_0467,4
G_B10_0468,3
G_B10_0469,4
G_B10_0470,2
G_B10_0471,4
G_B10_0472,3
G_B10_0473,4
G_B10_0474,3
G_B10_0475,6
G_B10_0476,2
G_B10_0477,4
G_B10_0478,3
G_B10_0479,4
G_B10_0480,3
G_B10_0481,1
G_B10_0482,2
G_B10_0483,4
G_B10_0484,3
G_B10_0485,4
G_B10_0486,2
G_B10_0487,4
G_B10_0488,2
G_B10_0489,4
G_B10_0490,2
G_B10_0491,4
G_B10_0492,2
G_B10_0493,4
G_B10_0494,2
G_B10_0495,4
G_B10_0496,2
G_B10_0497,4
G_B10_0498,2
G_B10_0499,4
G_B10_0500,2
G_B10_0501,6
G_B10_0502,2
G_B10_0503,4
G_B10_0504,2
G_B10_0505,4
G_B10_0506,2
G_B10_0507,4
G_B10_0508,2
G_B10_0509,4
G_B10_0510,2
G_B10_0511,1
G_B10_0512,2
G_B10_0513,4
G_B10_0514,2
G_B10_0515,4
G_B10_0516,2
G_B10_0517,6
G_B10_0518,2
G_B10_0519,4
G_B10_0520,2
G_B10_0521,4
G_B10_0522,2
G_B10_0523,4
G_B10_0524,2
G_B10_0525,4
G_B10_0526,2
G_B10_0527,4
G_B10_0528,2
G_B10_0529,4
G_B10_0530,2
G_B10_0531,6
G_B10_0532,2
G_B10_0533,4
G_B10_0534,2
G_B10_0535,4
G_B10_0536,2
G_B10_0537,6
G_B10_0538,2
G_B10_0539,4
G_B10_0540,2
G_B10_0541,6
G_B10_0542,2
G_B10_0543,6
G_B10_0544,2
G_B10_0545,4
G_B10_0546,2
G_B10_0547,6
G_B10_0548,2
G_B10_0549,4
G_B10_0550,2
G_B10_0551,4
G_B10_0552,2
G_B10_0553,4
G_B10_0554,2
G_B10_0555,6
G_B10_0556,2
G_B10_0557,4
G_B10_0558,2
G_B10_0559,4
G_B10_0560,2
G_B10_0561,6
G_B10_0562,2
G_B10_0563,4
G_B10_0564,2
G_B10_0565,4
G_B10_0566,2
G_B10_0567,4
G_B10_0568,2
G_B10_0569,6
G_B10_0570,2
G_B10_0571,6
G_B10_0572,2
G_B10_0573,4
G_B10_0574,2
G_B10_0575,4
G_B10_0576,2
G_B10_0577,6
G_B10_0578,2
G_B10_0579,4
G_B10_0580,2
G_B10_0581,4
G_B10_0582,2
G_B10_0583,6
G_B10_0584,2
G_B10_0585,6
G_B10_0586,2
G_B10_0587,4
G_B10_0588,2
G_B10_0589,6
G_B10_0590,2
G_B10_0591,6
G_B10_0592,2
G_B10_0593,4
G_B10_0594,2
G_B10_0595,6
G_B10_0596,2
G_B10_0597,4
G_B10_0598,2
G_B10_0599,4
G_B10_0600,2
G_B10_0601,6
G_B10_0602,2
G_B10_0603,4
G_B10_0604,2
G_B10_0605,4
G_B10_0606,2
G_B10_0607,6
G_B10_0608,2
G_B10_0609,4
G_B10_0610,2
G_B10_0611,4
G_B10_0612,2
G_B10_0613,4
G_B10_0614,2
G_B10_0615,6
G_B10_0616,2
G_B10_0617,4
G_B10_0618,2
G_B10_0619,4
G_B10_0620,2
G_B10_0621,6
G_B10_0622,2
G_B10_0623,4
G_B10_0624,2
G_B10_0625,6
G_B10_0626,2
G_B10_0627,4
G_B10_0628,2
G_B10_0629,4
G_B10_0630,2
G_B10_0631,6
G_B10_0632,2
G_B10_0633,4
G_B10_0634,2
G_B10_0635,4
G_B10_0636,2
G_B10_0637,2
G_B10_0638,2
G_B10_0639,6
G_B10_0640,2
G_B10_0641,4
G_B10_0642,2
G_B10_0643,4
G_B10_0644,2
G_B10_0645,4
G_B10_0646,2
G_B10_0647,4
G_B10_0648,2
G_B10_0649,4
G_B10_0650,2
G_B10_0651,6
G_B10_0652,2
G_B10_0653,4
G_B10_0654,2
G_B10_0655,4
G_B10_0656,2
G_B10_0657,6
G_B10_0658,2
G_B10_0659,6
G_B10_0660,2
G_B10_0661,6
G_B10_0662,2
G_B10_0663,6
G_B10_0664,2
G_B10_0665,4
G_B10_0666,2
G_B10_0667,6
G_B10_0668,2
G_B10_0669,4
G_B10_0670,2
G_B10_0671,4
G_B10_0672,2
G_B10_0673,4
G_B10_0674,2
G_B10_0675,6
G_B10_0676,2
G_B10_0677,4
G_B10_0678,2
G_B10_0679,4
G_B10_0680,2
G_B10_0681,6
G_B10_0682,2
G_B10_0683,4
G_B10_0684,2
G_B10_0685,4
G_B10_0686,2
G_B10_0687,4
G_B10_0688,2
G_B10_0689,2
G_B10_0690,2
G_B10_0691,6
G_B10_0692,2
G_B10_0693,6
G_B10_0694,2
G_B10_0695,4
G_B10_0696,2
G_B10_0697,6
G_B10_0698,2
G_B10_0699,4
G_B10_0700,2
G_B10_0701,4
G_B10_0702,2
G_B10_0703,6
G_B10_0704,2
G_B10_0705,4
G_B10_0706,2
G_B10_0707,4
G_B10_0708,2
G_B10_0709,6
G_B10_0710,2
G_B10_0711,4
G_B10_0712,2
G_B10_0713,4
G_B10_0714,2
G_B10_0715,2
G_B10_0716,2
G_B10_0717,4
G_B10_0718,2
G_B10_0719,4
G_B10_0720,2
G_B10_0721,1
G_B10_0722,2
G_B10_0723,4
G_B10_0724,2
G_B10_0725,4
G_B10_0726,2
G_B10_0727,4
G_B10_0728,2
G_B10_0729,4
G_B10_0730,2
G_B10_0731,4
G_B10_0732,2
G_B10_0733,4
G_B10_0734,2
G_B10_0735,4
G_B10_0736,2
G_B10_0737,4
G_B10_0738,2
G_B10_0739,4
G_B10_0740,2
G_B10_0741,6
G_B10_0742,2
G_B10_0743,4
G_B10_0744,2
G_B10_0745,4
G_B10_0746,2
G_B10_0747,4
G_B10_0748,2
G_B10_0749,4
G_B10_0750,2
G_B10_0751,6
G_B10_0752,2
G_B10_0753,4
G_B10_0754,2
G_B10_0755,4
G_B10_0756,2
G_B10_0757,6
G_B10_0758,2
G_B10_0759,4
G_B10_0760,2
G_B10_0761,4
G_B10_0762,2
G_B10_0763,4
G_B10_0764,2
G_B10_0765,4
G_B10_0766,2
G_B10_0767,4
G_B10_0768,2
G_B10_0769,4
G_B10_0770,2
G_B10_0771,6
G_B10_0772,2
G_B10_0773,4
G_B10_0774,2
G_B10_0775,4
G_B10_0776,2
G_B10_0777,6
G_B10_0778,2
G_B10_0779,4
G_B10_0780,2
G_B10_0781,4
G_B10_0782,2
G_B10_0783,4
G_B10_0784,2
G_B10_0785,4
G_B10_0786,2
G_B10_0787,6
G_B10_0788,2
G_B10_0789,4
G_B10_0790,2
G_B10_0791,4
G_B10_0792,2
G_B10_0793,4
G_B10_0794,2
G_B10_0795,4
G_B10_0796,2
G_B10_0797,4
G_B10_0798,2
G_B10_0799,4
G_B10_0800,2
G_B10_0801,6
G_B10_0802,2
G_B10_0803,4
G_B10_0804,2
G_B10_0805,4
G_B10_0806,2
G_B10_0807,4
G_B10_0808,2
G_B10_0809,6
G_B10_0810,2
G_B10_0811,4
G_B10_0812,2
G_B10_0813,4
G_B10_0814,2
G_B10_0815,4
G_B10_0816,2
G_B10_0817,2
G_B10_0818,2
G_B10_0819,4
G_B10_0820,2
G_B10_0821,4
G_B10_0822,2
G_B10_0823,6
G_B10_0824,2
G_B10_0825,4
G_B10_0826,2
G_B10_0827,4
G_B10_0828,2
G_B10_0829,6
G_B10_0830,2
G_B10_0831,4
G_B10_0832,2
G_B10_0833,4
G_B10_0834,2
G_B10_0835,6
G_B10_0836,2
G_B10_0837,4
G_B10_0838,2
G_B10_0839,4
G_B10_0840,2
G_B10_0841,1
G_B10_0842,2
G_B10_0843,1
G_B10_0844,2
G_B10_0845,1
G_B10_0846,2
G_B10_0847,1
G_B10_0848,2
G_B10_0849,1
G_B10_0850,2
G_B10_0851,1
G_B10_0852,2
G_B10_0853,1
G_B10_0854,2
G_B10_0855,1
G_B10_0856,2
G_B10_0857,1
G_B10_0858,2
G_B10_0859,1
G_B10_0860,2
G_B10_0861,1
G_B10_0862,2
G_B10_0863,1
G_B10_0864,2
G_B10_0865,1
G_B10_0866,2
G_B10_0867,1
G_B10_0868,2
G_B10_0869,1
G_B10_0870,2
G_B10_0871,1
G_B10_0872,2
G_B10_0873,1
G_B10_0874,2
G_B10_0875,1
G_B10_0876,2
G_B10_0877,1
G_B10_0878,2
G_B10_0879,1
G_B10_0880,2
G_B10_0881,1
G_B10_0882,2
G_B10_0883,1
G_B10_0884,2
G_B10_0885,1
G_B10_0886,2
G_B10_0887,1
G_B10_0888,2
G_B10_0889,1
G_B10_0890,2
G_B10_0891,1
G_B10_0892,2
G_B10_0893,1
G_B10_0894,2
G_B10_0895,1
G_B10_0896,2
G_B10_0897,1
G_B10_0898,2
G_B10_0899,1
G_B10_0900,2
G_B10_0901,1
G_B10_0902,2
G_B10_0903,1
G_B10_0904,2
G_B10_0905,1
G_B10_0906,2
G_B10_0907,1
G_B10_0908,2
G_B10_0909,1
G_B10_0910,2
G_B10_0911,1
G_B10_0912,2
G_B10_0913,1
G_B10_0914,2
G_B10_0915,1
G_B10_0916,2
G_B10_0917,1
G_B10_0918,2
G_B10_0919,1
G_B10_0920,2
G_B10_0921,1
G_B10_0922,2
G_B10_0923,1
G_B10_0924,2
G_B10_0925,1
G_B10_0926,2
G_B10_0927,1
G_B10_0928,2
G_B10_0929,1
G_B10_0930,2
G_B10_0931,1
G_B10_0932,2
G_B10_0933,1
G_B10_0934,2
G_B10_0935,1
G_B10_0936,2
G_B10_0937,1
G_B10_0938,2
G_B10_0939,1
G_B10_0940,2
G_B10_0941,1
G_B10_0942,2
G_B10_0943,1
G_B10_0944,2
G_B10_0945,1
G_B10_0946,2
G_B10_0947,1
G_B10_0948,2
G_B10_0949,1
G_B10_0950,2
G_B10_0951,1
G_B10_0952,2
G_B10_0953,1
G_B10_0954,2
G_B10_0955,1
G_B10_0956,2
G_B10_0957,1
G_B10_0958,2
G_B10_0959,1
G_B10_0960,2
G_B10_0961,1
G_B10_0962,2
G_B10_0963,1
G_B10_0964,2
G_B10_0965,1
G_B10_0966,2
G_B10_0967,1
G_B10_0968,2
G_B10_0969,1
G_B10_0970,2
G_B10_0971,1
G_B10_0972,2
G_B10_0973,1
G_B10_0974,2
G_B10_0975,1
G_B10_0976,2
G_B10_0977,1
G_B10_0978,2
G_B10_0979,1
G_B10_0980,2
G_B10_0981,1
G_B10_0982,2
G_B10_0983,1
G_B10_0984,2
G_B10_0985,1
G_B10_0986,2
G_B10_0987,1
G_B10_0988,2
G_B10_0989,1
G_B10_0990,2
G_B10_0991,1
G_B10_0992,2
G_B10_0993,1
G_B10_0994,2
G_B10_0995,1
G_B10_0996,2
G_B10_0997,1
G_B10_0998,2
G_B10_0999,1
G_B10_1000,2
G_B10_1001,1
G_B10_1002,2
G_B10_1003,1
G_B10_1004,2
G_B10_1005,1
G_B10_1006,2
G_B10_1007,1
G_B10_1008,2
G_B10_1009,1
G_B10_1010,2
G_B10_1011,1
G_B10_1012,2
G_B10_1013,1
G_B10_1014,2
G_B10_1015,1
G_B10_1016,2
G_B10_1017,1
G_B10_1018,2
G_B10_1019,1
G_B10_1020,2
G_B10_1021,1
G_B10_1022,2
G_B10_1023,1
G_B10_1024,2
G_B10_1025,1
G_B10_1026,2
G_B10_1027,1
G_B10_1028,2
G_B10_1029,1
G_B10_1030,2
G_B10_1031,1
G_B10_1032,2
G_B10_1033,1
G_B10_1034,2
G_B10_1035,1
G_B10_1036,2
G_B10_1037,1
G_B10_1038,2
G_B10_1039,1
G_B10_1040,2
G_B10_1041,1
G_B10_1042,2
G_B10_1043,1
G_B10_1044,2
G_B10_1045,1
G_B10_1046,2
G_B10_1047,1
G_B10_1048,2
G_B10_1049,1
G_B10_1050,2
G_B10_1051,1
G_B10_1052,2
G_B10_1053,1
G_B10_1054,2
G_B10_1055,1
G_B10_1056,2
G_B10_1057,1
G_B10_1058,2
G_B10_1059,1
G_B10_1060,2
G_B10_1061,1
G_B10_1062,2
G_B10_1063,1
G_B10_1064,2
G_B10_1065,1
G_B10_1066,2
G_B10_1067,1
G_B10_1068,2
G_B10_1069,1
G_B10_1070,2
G_B10_1071,1
G_B10_1072,2
G_B10_1073,1
G_B10_1074,2
G_B10_1075,1
G_B10_1076,2
G_B10_1077,1
G_B10_1078,2
G_B10_1079,1
G_B10_1080,2
G_B10_1081,1
G_B10_1082,2
G_B10_1083,1
G_B10_1084,1
G_B10_1085,1
G_B10_1086,2
G_B10_1087,1
G_B10_1088,2
G_B10_1089,1
G_B10_1090,2
G_B10_1091,1
G_B10_1092,2
G_B10_1093,1
G_B10_1094,1
G_B10_1095,1
G_B10_1096,2
G_B10_1097,1
G_B10_1098,2
G_B10_1099,1
G_B10_1100,4
G_B10_1101,1
G_B10_1102,2
G_B10_1103,1
G_B10_1104,1
G_B10_1105,1
G_B10_1106,4
G_B10_1107,4
G_B10_1108,1
G_B10_1109,1
G_B10_1110,4
G_B10_1111,1
G_B10_1112,2
G_B10_1113,1
G_B10_1114,2
G_B10_1115,1
G_B10_1116,2
G_B10_1117,1
G_B10_1118,2
G_B10_1119,1
G_B10_1120,2
G_B10_1121,1
G_B10_1122,2
G_B10_1123,1
G_B10_1124,2
G_B10_1125,1
G_B10_1126,2
G_B10_1127,1
G_B10_1128,2
G_B10_1129,1
G_B10_1130,2
G_B10_1131,1
G_B10_1132,2
G_B10_1133,1
G_B10_1134,2
G_B10_1135,1
G_B10_1136,2
G_B10_1137,1
G_B10_1138,2
G_B10_1139,1
G_B10_1140,2
G_B10_1141,1
G_B10_1142,2
G_B10_1143,1
G_B10_1144,2
G_B10_1145,1
G_B10_1146,2
G_B10_1147,1
G_B10_1148,2
G_B10_1149,1
G_B10_1150,2
G_B10_1151,1
G_B10_1152,2
G_B10_1153,1
G_B10_1154,2
G_B10_1155,1
G_B10_1156,2
G_B10_1157,1
G_B10_1158,2
G_B10_1159,1
G_B10_1160,2
G_B10_1161,1
G_B10_1162,2
G_B10_1163,1
G_B10_1164,2
G_B10_1165,1
G_B10_1166,2
G_B10_1167,1
G_B10_1168,2
G_B10_1169,1
G_B10_1170,2
G_B10_1171,1
G_B10_1172,2
G_B10_1173,1
G_B10_1174,2
G_B10_1175,1
G_B10_1176,2
G_B10_1177,1
G_B10_1178,2
G_B10_1179,1
G_B10_1180,2
G_B10_1181,1
G_B10_1182,2
G_B10_1183,1
G_B10_1184,2
G_B10_1185,1
G_B10_1186,2
G_B10_1187,1
G_B10_1188,2
G_B10_1189,1
G_B10_1190,2
G_B10_1191,1
G_B10_1192,2
G_B10_1193,1
G_B10_1194,2
G_B10_1195,1
G_B10_1196,2
G_B10_1197,1
G_B10_1198,2
G_B10_1199,1
G_B10_1200,2
G_B10_1201,1
G_B10_1202,2
G_B10_1203,1
G_B10_1204,2
G_B10_1205,1
G_B10_1206,2
G_B10_1207,1
G_B10_1208,2
G_B10_1209,1
G_B10_1210,2
G_B10_1211,1
G_B10_1212,2
G_B10_1213,1
G_B10_1214,2
G_B10_1215,1
G_B10_1216,2
G_B10_1217,1
G_B10_1218,2
G_B10_1219,1
G_B10_1220,2
G_B10_1221,1
G_B10_1222,2
G_B10_1223,1
G_B10_1224,2
G_B10_1225,1
G_B10_1226,2
G_B10_1227,1
G_B10_1228,2
G_B10_1229,1
G_B10_1230,2
G_B10_1231,1
G_B10_1232,2
G_B10_1233,1
G_B10_1234,2
G_B10_1235,1
G_B10_1236,2
G_B10_1237,1
G_B10_1238,2
G_B10_1239,1
G_B10_1240,2
G_B10_1241,1
G_B10_1242,2
G_B10_1243,1
G_B10_1244,2
G_B10_1245,1
G_B10_1246,2
G_B10_1247,1
G_B10_1248,2
G_B10_1249,1
G_B10_1250,2
G_B10_1251,1
G_B10_1252,2
G_B10_1253,1
G_B10_1254,2
G_B10_1255,1
G_B10_1256,2
G_B10_1257,1
G_B10_1258,2
G_B10_1259,1
G_B10_1260,2
G_B10_1261,1
G_B10_1262,2
G_B10_1263,1
G_B10_1264,2
G_B10_1265,1
G_B10_1266,2
G_B10_1267,1
G_B10_1268,2
G_B10_1269,1
G_B10_1270,2
G_B10_1271,1
G_B10_1272,2
G_B10_1273,1
G_B10_1274,2
G_B10_1275,1
G_B10_1276,2
G_B10_1277,1
G_B10_1278,2
G_B10_1279,1
G_B10_1280,2
G_B10_1281,1
G_B10_1282,2
G_B10_1283,1
G_B10_1284,2
G_B10_1285,1
G_B10_1286,2
G_B10_1287,1
G_B10_1288,2
G_B10_1289,1
G_B10_1290,2
G_B10_1291,1
G_B10_1292,2
G_B10_1293,1
G_B10_1294,2
G_B10_1295,1
G_B10_1296,2
G_B10_1297,1
G_B10_1298,2
G_B10_1299,1
G_B10_1300,2
G_B10_1301,1
G_B10_1302,2
G_B10_1303,1
G_B10_1304,2
G_B10_1305,1
G_B10_1306,2
G_B10_1307,1
G_B10_1308,2
G_B10_1309,1
G_B10_1310,2
G_B10_1311,1
G_B10_1312,2
G_B10_1313,1
G_B10_1314,2
G_B10_1315,1
G_B10_1316,2
G_B10_1317,1
G_B10_1318,2
G_B10_1319,1
G_B10_1320,2
G_B10_1321,1
G_B10_1322,2
G_B10_1323,5
G_B10_1324,5
G_B10_1325,5
G_B10_1326,5
G_B10_1327,5
G_B10_1328,5
G_B10_1329,5
G_B10_1330,5
G_B10_1331,5
G_B10_1332,5
G_B10_1333,5
G_B10_1334,5
G_B10_1335,4
G_B10_1336,5
G_B10_1337,5
G_B10_1338,5
G_B10_1339,5
G_B10_1340,5
G_B10_1341,1
G_B10_1342,2
G_B10_1343,5
G_B10_1344,5
G_B10_1345,5
G_B10_1346,5
G_B10_1347,5
G_B10_1348,5
G_B10_1349,5
G_B10_1350,5
G_B10_1351,1
G_B10_1352,2
G_B10_1353,5
G_B10_1354,5
G_B10_1355,5
G_B10_1356,5
G_B10_1357,1
G_B10_1358,2
G_B10_1359,5
G_B10_1360,5
G_B10_1361,5
G_B10_1362,5
G_B10_1363,5
G_B10_1364,5
G_B10_1365,5
G_B10_1366,5
G_B10_1367,5
G_B10_1368,5
G_B10_1369,5
G_B10_1370,5
G_B10_1371,1
G_B10_1372,1
G_B10_1373,5
G_B10_1374,5
G_B10_1375,5
G_B10_1376,5
G_B10_1377,5
G_B10_1378,5
G_B10_1379,5
G_B10_1380,5
G_B10_1381,4
G_B10_1382,5
G_B10_1383,5
G_B10_1384,5
G_B10_1385,5
G_B10_1386,5
G_B10_1387,1
G_B10_1388,5
G_B10_1389,5
G_B10_1390,5
G_B10_1391,5
G_B10_1392,5
G_B10_1393,5
G_B10_1394,5
G_B10_1395,5
G_B10_1396,5
G_B10_1397,4
